"fact","meta__relevant_articles__001","meta__relevant_articles__002","meta__relevant_articles__003","meta__relevant_articles__004","meta__accusation__001","meta__accusation__002","meta__accusation__003","meta__punish_of_money","meta__criminals__-","meta__term_of_imprisonment__death_penalty","meta__term_of_imprisonment__imprisonment","meta__term_of_imprisonment__life_imprisonment"
"公诉机关指控：2013年6月23日凌晨2时许，廖3某（已起诉）与被害人黄XX在肇庆市端州区和平路有兴食馆发生口角，后被告人郑XX与廖3某、廖2某（已起诉）、廖1某（在逃）等人用啤酒瓶及食馆的台面、凳子殴打受害人黄XX。经鉴定，黄XX的损伤程度属轻伤。公诉机关认为，被告人郑XX的行为已构成××罪，并提供相关证据，请本院依法判处。","234","","","","故意伤害","","","0","郑XX","False","11","False"
"长春市双阳区人民检察院指控，2016年8月7日18时许，在长春市双阳区山河街烧锅村四社，被告人李某与付某因琐事争吵，进而厮打，在厮打过程中李某将付某鼻骨打伤，经鉴定：付某的本次外伤评定为轻伤二级。案发后，被告人李某被抓获归案。","234","","","","故意伤害","","","0","李某","False","0","False"
"浙江省宁波市镇海区人民检察院指控：2014年12月1日19时许，被告人叶某在镇海区骆驼街道后唐44号棋牌室附近，因琐事与肖某、兰某发生打斗。被告人叶某用刀捅伤肖某、兰某。经鉴定，被害人肖某腹部损伤构成轻伤二级；兰某胸部损伤构成重伤二级、面部皮肤裂伤构成轻微伤。案发后，被告人叶某赔偿被害人肖某、兰某经济损失共计人民币1.5万元。","234","","","","故意伤害","","","0","叶某","False","60","False"
"公诉机关指控，2015年3月28日上午10时许，被告人陈某甲驾驶电动三轮车在莒县恒吉驾校门口与被害人胡某因争抢客人发生争执，争执过程中被告人陈某甲用拳头将被害人胡某打致双侧鼻骨骨折、右侧眼眶内、下壁骨折。经鉴定，被害人胡某的损伤程度构成轻伤一级。","234","","","","故意伤害","","","0","陈某甲","False","12","False"
"经审理查明，2013年7月29日下午2时许，河北XX信息技术有限公司职工白某、靳某、王某乙和李某乙在坚固村李2某的带领下，在新乐市坚固村施工安装电信线路。当白某蹬着梯子在在王某甲家房子上安支架时，被告人王某甲上前拽白某蹬着的梯子，导致白某从梯子上摔下来。经新乐司法医学鉴定中心鉴定，被鉴定人白某脊柱骨折属轻伤。民事部分已调解。认定上述事实的证据有被害人白某陈述、证人靳某、李某甲、王某乙、李某乙、高某、王某丙、王某丁证言、现场勘验笔录、现场照片、司法鉴定意见书、协议书、无前科证明、户籍证明等，以上证据经法庭质证、核实，足以认定。","234","","","","故意伤害","","","0","王某甲","False","8","False"
"公诉机关指控：2016年1月26日15时许，被告人骆某到武汉市洪山区先建村卓越汽车养护中心，因之前维修费纠纷及汽车被划伤问题，与被害人杜某发生口角继而引发打斗。期间，被告人骆某导致被害人杜某所受伤为轻伤（二级）。2016年4月26日，被告人骆某向公安机关投案。案发后，双方已达成赔偿谅解。公诉机关认为被告人骆某具有自首及积极赔偿损失、取得被害人谅解的处罚情节，建议判处被告人骆某××以下、××或者××。","234","","","","故意伤害","","","0","骆某","False","6","False"
"经审理查明：2013年2月24日晚20时30分许，被告人余某在其家三楼看到其院内有一人在走动，怀疑该人欲实施盗窃。余某随即手持一手电筒下楼追赶，后在其家临路的公路上用手电筒照到骑摩托车路过此处的被害人闫某某，便抓住闫某某的衣服将闫某某拉倒在公路边，致闫某某的左臂骨折。经南阳市公安局刑事科学技术研究所鉴定闫某某的损伤程度为轻伤。另查明，案发后人余某与被害人闫某某签订了调解协议并取得了被害人的谅解。上述事实，被告人余某在开庭过程中亦无异议，且有被害人闫某某的陈述，证人谢某甲、谢某乙等人的证言，调解协议，收条，撤诉申请，到案经过，现场物品照片，南阳市公安局刑事科学技术研究所出具的法医学人体损伤程度鉴定书，（1993）桐刑初字第060号刑事判决书，被告人余某的人口信息等相关证据证实，足以认定。","234","","","","故意伤害","","","0","余某","False","8","False"
"贵州省安龙县人民检察院指控：2013年10月31日晚，被告人叶某某之子刘某甲酒后回家，途经刘某某家门口时被刘家喂养的狗追咬，刘某甲便甩石头打狗，为此刘某某同其妻杨某某、其女刘某乙出来同刘某甲发生抓打，后派出所民警接报警后到现场及时制止。同年11月2日，被告人叶某某听说刘某甲10月31日被打一事后，于当日17时许与刘某甲、刘某丙、刘某丁到杨某某家院坝中吵闹，杨某某见状便与刘某乙从家中各提一根木棒出来，后双方发生抓打，在此过程中叶某某用木棒将杨某某左小腿打伤。经鉴定：杨某某所受损伤致左腓骨上段粉碎性骨折，评定为轻伤。上述指控，公诉机关提供了书证、证人证言、被害人陈述、被告人供述和辩解、鉴定意见、勘验、检查笔录等证据，依照《中华人民共和国刑法》××的规定，以被告人叶某某的构成××罪，提请本院依法判处。并提出“对叶某某在××至一年六个月幅度内判处刑罚”的量刑建议。附带民事诉讼原告人杨某某请求判决被告人叶某某赔偿医疗费19216.63元，误工费17242元，护理费1464元，住院伙食补助费720元，营养费2000元，交通费500元，后续治疗费20000元，共计人民币61142.63元。","234","","","","故意伤害","","","0","叶某某","False","8","False"
"宜昌市猇亭区人民检察院指控，2015年4月，被告人范某在葛洲坝机械工业有限公司作业时，与被害人闫某甲的姐姐闫某乙因工作配合发生口角和肢体冲突，此后双方家人因此产生矛盾，数次发生冲突。同年5月10日14时许，被害人闫某甲在葛洲坝机械工业有限公司门口与范某相遇，双方再次发生争执，范某用随身携带的尖刀将闫某甲的左手臂、左大腿、左脚中趾等处刺伤后逃匿。2015年10月26日范某被公安机关抓获。经鉴定，被害人闫某甲的损伤程度为轻伤二级。公诉机关就起诉书指控的上述事实向法庭出示了被害人陈述，证人证言，现场勘验、检查、辨认等笔录及照片，鉴定意见，案发时的监控视频，被害人住院资料，被告人的供述和辩解等证据，认为对被告人范某应以××罪追究其刑事责任，提请本院依法判处。","234","","","","故意伤害","","","0","范某","False","12","False"
"东方市人民检察院指控，2014年5月9日7时许，被告人骆某在东方市三家镇乐安村菜市场附近见到被害人吉某，遂捡起一块木板扔向吉某，但没有打到，二人随即扭打在一起，后被众人拉开。8时许，骆某见吉某走到符某诊所对面，就从赵1某家门口前捡起一根木棍冲到吉某面前手持木棍朝其头部击打，吉某虽然举起木棍格挡，仍被打到左耳。迅即，骆某朝吉某胸口处击打几棍，吉某摔倒在路边的排水沟中，骆某再次用棍子朝其身上击打，后被人拉开。经东方市公安司法鉴定中心鉴定，被害人吉某系被钝器打击致胸部第九、十肋骨骨折，已达轻伤二级。针对上述指控，公诉机关当庭宣读、出示了如下证据：1、物证照片；2、书证：《受案登记表》、《常住人口信息》、《到案经过》、《收据》、《行政处罚决定书》；3、证人符某、胡某的证言；4、被害人吉某的陈述；5、被告人骆某的供述与辩解；6、琼东公司鉴（法医）字（2014）167号《法医学人体损伤程度鉴定书》；7、现场勘查、辨认笔录及照片等。据此，公诉机关认为被告人骆某的行为已触犯了《中华人民共和国刑法》××××之规定，应当以××罪追究其刑事责任，建议对被告人骆某在一年至二年××幅度内量刑。提请本院依法判处。","234","","","","故意伤害","","","0","骆某","False","12","False"
