Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2014/12/29--22:57:00,2014/12/30--7:30:00,8:32,59,4107,100%,
2014/12/30--21:17:00,2014/12/30--21:33:00,0:16,72,18019,3%,
2014/12/30--22:42:00,2014/12/31--7:13:00,8:30,57,14783,98%,
2014/12/31--22:31:00,2015/1/1--6:03:00,7:32,67,7788,65%,
2015/1/1--22:12:00,2015/1/2--4:56:00,6:44,68,13795,72%,
2015/1/3--0:34:00,2015/1/3--7:47:00,7:12,60,7981,83%,
2015/1/4--0:23:00,2015/1/4--7:37:00,7:14,68,15942,78%,
2015/1/4--21:34:00,2015/1/5--4:53:00,7:18,57,12419,78%,
2015/1/5--21:32:00,2015/1/6--5:00:00,7:27,56,14320,69%,
2015/1/6--21:24:00,2015/1/7--5:00:00,7:35,64,5374,74%,
2015/1/7--20:59:00,2015/1/8--6:19:00,9:19,62,5122,81%,
2015/1/8--22:58:00,2015/1/9--6:14:00,7:16,58,10924,88%,
2015/1/9--22:27:00,2015/1/10--7:29:00,9:01,65,15811,77%,
2015/1/10--22:38:00,2015/1/11--7:28:00,8:50,65,7134,89%,
2015/1/11--22:12:00,2015/1/12--6:20:00,8:08,53,15057,78%,
2015/1/12--21:01:00,2015/1/13--6:13:00,9:11,65,11771,100%,
2015/1/13--22:14:00,2015/1/14--6:20:00,8:06,55,12655,100%,
2015/1/14--21:48:00,2015/1/15--5:02:00,7:13,60,7175,88%,
2015/1/15--21:32:00,2015/1/16--4:54:00,7:22,60,7781,87%,
2015/1/17--2:11:00,2015/1/17--9:03:00,6:51,94,14615,83%,
2015/1/17--23:55:00,2015/1/18--7:47:00,7:51,57,9532,93%,
2015/1/18--21:51:00,2015/1/19--5:04:00,7:12,67,12958,58%,
2015/1/19--5:06:00,2015/1/19--6:20:00,1:13,58,18293,16%,
2015/1/19--21:45:00,2015/1/20--5:45:00,8:00,54,6661,75%,
2015/1/20--21:42:00,2015/1/21--5:45:00,8:02,60,2271,80%,
2015/1/21--22:34:00,2015/1/22--6:17:00,7:42,75,2479,87%,
2015/1/25--20:55:00,2015/1/26--6:14:00,9:19,58,14696,87%,
2015/1/26--22:36:00,2015/1/27--6:11:00,7:35,66,18845,83%,
2015/1/28--21:43:00,2015/1/29--5:20:00,7:37,57,12023,76%,
2015/1/29--22:23:00,2015/1/30--5:29:00,7:05,63,18518,67%,
2015/1/31--0:13:00,2015/1/31--8:17:00,8:03,62,16347,93%,
2015/2/1--21:55:00,2015/2/2--5:09:00,7:13,56,10670,64%,
2015/2/2--22:30:00,2015/2/3--6:20:00,7:49,61,1072,75%,
2015/2/3--22:47:00,2015/2/4--6:20:00,7:32,61,13488,72%,
2015/2/4--23:03:00,2015/2/5--6:10:00,7:07,57,8931,70%,
2015/2/8--22:30:00,2015/2/9--6:48:00,8:17,61,7671,89%,
2015/2/9--21:55:00,2015/2/10--6:13:00,8:17,58,18518,85%,
2015/2/10--22:20:00,2015/2/11--6:20:00,8:00,60,19145,59%,
2015/2/11--21:53:00,2015/2/12--5:30:00,7:36,57,16989,67%,
2015/2/12--22:34:00,2015/2/13--5:24:00,6:49,53,1085,69%,
2015/2/15--22:16:00,2015/2/16--5:20:00,7:04,60,3588,74%,
2015/2/17--0:02:00,2015/2/17--6:16:00,6:13,65,3227,78%,
2015/2/17--22:20:00,2015/2/18--5:05:00,6:45,55,6208,70%,
2015/2/19--22:39:00,2015/2/20--6:20:00,7:40,66,6238,77%,
2015/2/21--0:31:00,2015/2/21--7:32:00,7:00,55,17084,72%,
2015/2/21--22:54:00,2015/2/22--7:49:00,8:55,56,14472,92%,
2015/2/22--22:18:00,2015/2/23--6:20:00,8:02,60,7252,87%,
2015/2/24--22:30:00,2015/2/25--6:20:00,7:49,62,8446,69%,
2015/2/26--1:22:00,2015/2/26--7:16:00,5:54,0,19293,65%,
2015/2/26--21:42:00,2015/2/27--5:37:00,7:54,61,3025,90%,
2015/3/1--20:14:00,2015/3/2--5:44:00,9:29,62,12528,88%,
2015/3/3--21:47:00,2015/3/4--5:30:00,7:43,62,8866,61%,
2015/3/4--20:53:00,2015/3/5--6:13:00,9:19,68,3422,54%,
2015/3/5--22:29:00,2015/3/6--6:20:00,7:50,58,8268,86%,
2015/3/8--22:54:00,2015/3/9--6:20:00,7:25,61,10598,69%,
2015/3/9--21:28:00,2015/3/10--6:18:00,8:50,67,6191,99%,
2015/3/10--22:17:00,2015/3/11--6:18:00,8:01,71,5071,82%,
