Start,End,Time in bed,Heart rate,Activity (steps),regular
23.866666666666667,7.5,7.633333333333333,10614,63,1
23.966666666666665,7.5,7.533333333333333,10676,79,1
23.5,7.5,8.0,13990,65,1
23.5,7.5,8.0,7575,76,1
3.8,7.5,3.7,7923,74,0
23.983333333333334,7.8,7.816666666666666,18301,70,1
23.933333333333334,7.5,7.566666666666666,17297,68,1
2.9833333333333334,7.5,4.516666666666667,18301,65,0
0.7,7.5,6.8,10189,80,1
0.9333333333333333,7.5,6.566666666666666,20333,75,1
0.43333333333333335,7.5,7.066666666666666,17795,80,1
0.3333333333333333,7.5,7.166666666666667,15538,85,1
0.0,7.5,7.5,14492,80,1
23.533333333333335,7.05,7.516666666666667,11778,83,1
23.633333333333333,7.4,7.766666666666667,8389,86,1
23.75,7.5,7.75,18056,89,1
0.0,7.5,7.5,14426,88,1
23.7,7.466666666666667,7.766666666666667,4328,90,1
23.566666666666666,7.75,8.183333333333334,6860,95,1
23.616666666666667,7.333333333333333,7.716666666666667,4622,88,1
0.08333333333333333,7.666666666666667,7.583333333333333,6647,84,1
0.3333333333333333,7.833333333333333,7.5,6834,80,1
23.05,8.416666666666666,9.366666666666667,7588,97,1
23.966666666666665,7.75,7.783333333333333,8857,88,1
1.25,7.05,5.8,8943,79,1
1.1166666666666667,7.333333333333333,6.216666666666667,9775,80,1
1.4333333333333333,7.05,5.616666666666667,8060,95,1
1.6333333333333333,7.05,5.416666666666667,5001,84,1
1.15,7.033333333333333,5.883333333333333,5316,81,1
4.866666666666667,7.983333333333333,3.1166666666666667,14972,90,0
1.5,6.916666666666667,5.416666666666667,1496,95,1
1.4,6.966666666666667,5.566666666666666,10425,63,1
0.25,7.35,7.1,15440,73,1
22.266666666666666,8.483333333333333,10.216666666666667,4339,97,1
0.38333333333333336,7.983333333333333,7.6,16551,82,1
1.3333333333333333,7.95,6.616666666666667,12000,93,1
0.85,7.55,6.7,18607,73,1
22.75,6.683333333333334,7.933333333333334,10482,96,1
1.2333333333333334,8.066666666666666,6.833333333333333,10433,80,1
1.2,7.3,6.1,12340,62,1
23.766666666666666,7.466666666666667,7.7,12997,71,1
0.8666666666666667,6.833333333333333,5.966666666666667,6237,75,1
22.4,6.683333333333334,8.283333333333333,7681,79,1
22.833333333333332,7.966666666666667,9.133333333333333,13302,97,1
22.233333333333334,8.15,9.916666666666666,4568,88,1
23.033333333333335,7.75,8.716666666666667,7786,92,1
0.6833333333333333,8.583333333333334,7.9,19757,85,1
22.983333333333334,7.9,8.916666666666666,14360,65,1
0.13333333333333333,7.15,7.016666666666667,9547,81,1
23.0,6.933333333333334,7.933333333333334,12232,67,1
1.6333333333333333,8.533333333333333,6.9,11046,67,1
23.216666666666665,7.383333333333334,8.166666666666666,11374,80,1
23.983333333333334,7.216666666666667,7.233333333333333,18849,66,1
1.6,8.633333333333333,7.033333333333333,17832,76,1
1.2333333333333334,7.983333333333333,6.75,10452,85,1
0.7333333333333333,7.2,6.466666666666667,10599,73,1
0.8666666666666667,8.75,7.883333333333333,3546,73,1
22.033333333333335,8.883333333333333,10.85,10203,83,0
1.5833333333333335,8.666666666666666,7.083333333333333,1901,94,1
22.0,7.9,9.9,1972,71,1
1.1333333333333333,7.25,6.116666666666666,8510,70,1
0.75,7.9,7.15,17464,97,1
1.4833333333333334,7.316666666666666,5.833333333333333,6834,82,1
22.466666666666665,7.216666666666667,8.75,1813,68,1
22.133333333333333,8.85,10.716666666666667,2914,97,0
22.066666666666666,8.783333333333333,10.716666666666667,2947,67,0
23.6,8.216666666666667,8.616666666666667,4499,68,1
1.2166666666666668,8.283333333333333,7.066666666666666,7067,71,1
23.716666666666665,7.033333333333333,7.316666666666666,7871,77,1
23.833333333333332,8.283333333333333,8.45,10042,97,1
1.9833333333333334,7.65,5.666666666666667,15962,89,1
1.0,7.85,6.85,8917,89,1
22.283333333333335,8.933333333333334,10.65,19235,97,0
22.566666666666666,6.583333333333333,8.016666666666667,17667,89,1
1.35,8.1,6.75,12276,71,1
1.95,6.616666666666667,4.666666666666667,2573,84,0
22.45,7.116666666666666,8.666666666666666,572,60,1
23.55,8.516666666666667,8.966666666666667,14197,78,1
23.15,7.316666666666666,8.166666666666666,10620,97,1
23.416666666666668,6.6,7.183333333333334,4980,98,1
1.0666666666666667,6.516666666666667,5.45,2374,89,1
0.5333333333333333,8.2,7.666666666666667,2606,100,1
22.2,7.383333333333334,9.183333333333334,16666,61,1
23.033333333333335,7.3,8.266666666666667,4085,61,1
23.516666666666666,8.2,8.683333333333334,8736,77,1
1.3166666666666667,8.733333333333333,7.416666666666667,13120,93,1
22.333333333333332,6.55,8.216666666666667,12377,79,1
1.75,8.383333333333333,6.633333333333333,11911,66,1
1.1666666666666667,7.066666666666666,5.9,7240,88,1
0.7833333333333333,7.0,6.216666666666667,19607,82,1
